Accounting Date,masked_column
1/27/2025,58
1/27/2025,5826
1/28/2025,445
1/29/2025,0
1/29/2025,0
1/29/2025,88
1/30/2025,11
1/30/2025,1020
1/30/2025,354
1/31/2025,0
2/1/2025,10
2/2/2025,133
2/4/2025,179
2/4/2025,100
2/4/2025,2944
2/5/2025,584
2/5/2025,24
2/6/2025,47
2/6/2025,11
2/6/2025,136
2/7/2025,4
2/8/2025,162
2/8/2025,6
2/9/2025,20
2/9/2025,10
2/11/2025,8545
2/11/2025,5
2/11/2025,10
2/12/2025,6351
2/12/2025,2729
2/12/2025,5634
2/13/2025,173
2/13/2025,39
2/14/2025,730
2/14/2025,389
2/14/2025,0
2/15/2025,17
2/15/2025,11
2/15/2025,5
2/19/2025,6
2/22/2025,53
2/25/2025,844
2/25/2025,3850
2/26/2025,11
2/27/2025,3
