Accounting Date,masked_column
8/8/2023,6
8/8/2023,12
8/9/2023,6
8/10/2023,148
8/10/2023,50
8/12/2023,9
8/14/2023,10
8/15/2023,117
8/15/2023,207
8/15/2023,46
8/15/2023,21039
8/15/2023,10695
8/15/2023,149
8/16/2023,11
8/16/2023,27
8/16/2023,5
8/16/2023,26
8/16/2023,11
8/16/2023,6
8/16/2023,139
8/16/2023,11
8/16/2023,53
8/16/2023,172
8/16/2023,17
8/16/2023,13
8/17/2023,47
8/17/2023,5872
8/17/2023,6
8/17/2023,13
8/17/2023,10
8/17/2023,23
8/18/2023,48
8/18/2023,327
8/18/2023,24
8/18/2023,10
8/18/2023,11
8/18/2023,21
8/18/2023,12
8/19/2023,33
8/20/2023,24
8/20/2023,10
8/20/2023,21
8/21/2023,5
8/21/2023,12
8/21/2023,6
8/21/2023,24
8/21/2023,125
8/21/2023,29
8/21/2023,35
8/22/2023,29
8/22/2023,34
8/22/2023,2
8/22/2023,6
8/22/2023,503
8/22/2023,24
8/22/2023,54
8/23/2023,1
8/24/2023,10
8/24/2023,6
8/24/2023,27
8/24/2023,402
8/25/2023,9
8/25/2023,9
8/25/2023,12
8/26/2023,6
8/28/2023,10
8/28/2023,6
8/28/2023,6
8/28/2023,6
8/29/2023,26
8/29/2023,13
8/29/2023,12
8/30/2023,20
8/30/2023,11
8/30/2023,570
8/31/2023,57
9/2/2023,10
9/4/2023,11
9/4/2023,12
9/5/2023,5
9/5/2023,45
9/5/2023,8
9/5/2023,10
9/5/2023,6
9/5/2023,6
9/6/2023,11
9/6/2023,30
9/7/2023,5
9/7/2023,9
9/8/2023,150
9/8/2023,11
9/8/2023,10
9/8/2023,119
9/8/2023,5
9/8/2023,9
9/8/2023,6
9/9/2023,11
9/9/2023,10
9/10/2023,24
9/10/2023,9
9/11/2023,5
9/12/2023,220
9/12/2023,10
9/12/2023,415
9/13/2023,24
9/13/2023,10
9/13/2023,5
9/13/2023,9
9/14/2023,10
9/14/2023,45
9/15/2023,6
9/16/2023,11
9/16/2023,10
9/16/2023,21
9/17/2023,5
9/18/2023,10
9/19/2023,54
9/20/2023,22
9/20/2023,412
9/20/2023,0
9/22/2023,5
9/23/2023,8
9/23/2023,4582
9/27/2023,12
9/27/2023,12
9/27/2023,15
9/28/2023,11
9/28/2023,6
9/28/2023,7063
9/28/2023,12
9/28/2023,6
9/28/2023,0
9/29/2023,9
9/29/2023,103
9/30/2023,10
9/30/2023,3488
10/1/2023,3
10/2/2023,134
10/2/2023,117
10/3/2023,11
10/3/2023,10
10/3/2023,1
10/4/2023,11
10/4/2023,5
10/5/2023,12
10/7/2023,6
10/8/2023,5
10/8/2023,5
10/8/2023,19
10/8/2023,4
10/9/2023,11
10/10/2023,7295
10/10/2023,5
10/10/2023,53
10/11/2023,10
10/12/2023,952
10/12/2023,142
10/13/2023,10
10/13/2023,6
10/13/2023,230
10/14/2023,6
10/14/2023,10
10/14/2023,3661
10/15/2023,10
10/15/2023,48
10/18/2023,6
10/18/2023,6
10/18/2023,5
10/18/2023,6
10/18/2023,6
10/18/2023,5
10/19/2023,11
10/19/2023,5043
10/19/2023,6
10/20/2023,462
10/20/2023,5
10/20/2023,34
10/20/2023,11
10/20/2023,11
10/20/2023,10
10/20/2023,48
10/21/2023,17
10/21/2023,10
10/22/2023,22
10/22/2023,141
10/23/2023,6
10/23/2023,25
10/25/2023,25
10/25/2023,12
10/25/2023,142
10/25/2023,28
10/26/2023,1
10/26/2023,6
10/26/2023,49
10/26/2023,1506
10/26/2023,382
10/27/2023,22
10/27/2023,5
10/27/2023,21
10/28/2023,5
10/28/2023,6
10/30/2023,10
10/31/2023,12
10/31/2023,31
11/1/2023,11
11/1/2023,10
11/2/2023,143
11/2/2023,48
11/2/2023,156
11/2/2023,144
11/2/2023,155
11/2/2023,13
11/2/2023,21743
11/2/2023,19348
11/2/2023,6
11/2/2023,5
11/3/2023,4
11/3/2023,9
11/3/2023,82
11/3/2023,5
11/3/2023,6
11/5/2023,12
11/5/2023,6
11/6/2023,5
11/6/2023,6
11/6/2023,8
11/7/2023,2
11/7/2023,11
11/7/2023,5
11/8/2023,168
11/8/2023,52
11/9/2023,5
11/9/2023,6
11/9/2023,185
11/10/2023,11
11/10/2023,26
11/10/2023,24
11/11/2023,10
11/11/2023,4
11/11/2023,5
11/11/2023,11
11/11/2023,10
11/12/2023,11
11/12/2023,6
11/13/2023,23
11/13/2023,5
11/14/2023,5
11/14/2023,903
11/14/2023,192
11/14/2023,6
11/15/2023,22
11/15/2023,5
11/15/2023,11
11/16/2023,29
11/16/2023,53
11/17/2023,179
11/17/2023,139
11/17/2023,4728
11/18/2023,9
11/19/2023,12
11/20/2023,6
11/20/2023,10
11/20/2023,21
11/21/2023,134
11/21/2023,88
11/21/2023,6
11/21/2023,1011
11/21/2023,6
11/21/2023,435
11/21/2023,6
11/21/2023,47
11/22/2023,11
11/23/2023,12
11/24/2023,2270
11/25/2023,174
11/25/2023,19
11/25/2023,2
11/25/2023,5
11/27/2023,3
11/28/2023,1110
