ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
452046673,11/15/2023 10:50 PM,No,No,No,No,No,No,Yes,No,No,No,No,66+,"$50,001 - $100,000","Good.,",Did not enjoy the movie. Left early 
452059598,11/16/2023 1:10 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below","All was wonderful except one excerpt in the film where the sound was quite muffled. Others noticed it, as well.   But I loved the film! ","I had a very nice experience, overall. Thank you!"
452173264,11/16/2023 8:55 AM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$100,001 - $200,000",Great!,
452192113,11/16/2023 9:44 AM,No,No,No,No,No,No,No,Yes,No,No,No,36-45,"$100,001 - $200,000","Excellent. I'm glad I went, and I was disappointed that so few people attended. The film was excellent.",
