ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
439514495,10/08/2023 5:24 PM,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$100,001 - $200,000",Enjoyable,
439521439,10/08/2023 5:52 PM,No,No,No,No,No,No,No,Yes,No,No,No,66+,,"Took grandkids and as usual they loved it, Little Watts is a great addition to your program…Was sorry to see fewer people here than usual…",
439528300,10/08/2023 6:16 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","It was a wonderful way to spend a Sunday afternoon with our grandsons. The lighting, sound and value were excellent. I look forward to more like opportunities for the children. Thank you.",
