ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Television,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
371069894,04/01/2023 10:07 PM,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$200,001 or above",Great.,"Advertise to younger crowds. Use instagram, Twitter, etc to get the word out!"
371080567,04/01/2023 11:20 PM,No,No,No,No,No,No,No,Yes,No,No,No,56-65,,"I didn’t go, I gave the tickets away as a present.",Directions on where parking is available and a list of restaurants in the area before the show.
371163783,04/02/2023 7:49 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,,"It was awesome, there were 4 of us and we had a wonderful time. We're blessed to have such a great venue for top notch music in such a small town. Thank you so much.",
371194559,04/02/2023 9:14 AM,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,,No negatives all positive!!!!!,People going out during the performances for more wine is disturbing to say the least! Intermission is for refills.
371204650,04/02/2023 9:39 AM,No,No,No,No,No,Yes,No,No,Yes,Yes,No,66+,"$100,001 - $200,000",Great,none
371208360,04/02/2023 10:23 AM,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,66+,"$100,001 - $200,000",All was good!,
371227747,04/02/2023 10:43 AM,No,No,No,No,No,No,No,No,No,No,Yes,66+,,Incredible evening of music to enjoy talented ladies both vocally and instrumentally. Bring The Wildcards back every year. . .,
371404254,04/02/2023 6:17 PM,No,No,No,No,No,No,No,No,No,No,Yes,66+,"$100,001 - $200,000","Quality, lighting, sound and value were all a 10!",
