ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Television,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
367004500,03/23/2023 9:17 PM,No,No,No,No,No,No,Yes,Yes,Yes,No,No,66+,"$50,001 - $100,000",Delightful!  We enjoyed the woodwind quintet’s version of Peter and the Wolf very much.,
367010344,03/23/2023 9:43 PM,No,No,No,No,No,No,No,No,No,Yes,No,36-45,"$50,001 - $100,000","Excellent 
Wonderful 
Very good",
367291687,03/24/2023 2:02 PM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$50,001 - $100,000",Great,
367586520,03/25/2023 8:22 AM,No,No,No,No,No,No,No,No,Yes,No,No,46-55,"$50,001 - $100,000","It was a wonderful family event, the quality was amazing- lighting and sound were perfect!",
369920894,03/30/2023 9:22 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below",It was fabulous!  the performers were incredible and all aspects of the theatre were excellent.  i just wished more people had been in attendance.  Maybe putting posters up at the elementary schools?  I also went the next night with same results,
