ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
419227559,08/09/2023 10:04 PM,Yes,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,000 or below","Very, very informational.  Thank you!",
419250741,08/09/2023 11:15 PM,Yes,No,No,No,No,No,No,No,No,No,No,66+,"$100,001 - $200,000",Outstanding documentary and well-orchestrated by Warren Etheridge.,
419430009,08/10/2023 7:36 AM,No,No,No,No,No,No,No,No,Yes,No,No,66+,"$100,001 - $200,000","Very good value on an extremely important topic. The crowd was good, but we were surprised the theater wasn't full.","As my wife were discussing the event, I noted how fortunate we are to have GPHT in Walla Walla. It has quickly become a top venue for entertainment."
419438925,08/10/2023 7:50 AM,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,001 - $100,000",excellent,
419506291,08/10/2023 9:58 AM,Yes,No,No,No,No,No,No,No,No,No,No,66+,,Very informative and profound,
419531665,08/10/2023 10:47 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,"$50,001 - $100,000",Excellent,
419798123,08/10/2023 6:47 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","Downwind was a sobering movie, but well done, telling the story that has not been honestly told. Warren did a good job of facilitating the event.",
