ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Tumbleweird,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
424957960,08/25/2023 8:23 AM,No,No,No,No,No,No,No,No,No,Yes,No,66+,"$50,001 - $100,000","Excellent quality, great value in awareness of many current events and situations (due to the subject matter in several of the films)",Probably cost more than you gained in revenue but we think both this and the other production (Downwind) were superb.
425085844,08/25/2023 2:30 PM,No,No,No,No,No,No,No,No,No,Yes,No,66+,,"Very worthwhile, and I would like to see more Spanish language short films.",
