ID,Date,Walla Walla Union Bulletin,Tri-City Herald,The Entertainer,Television,Radio,Poster,"Social Media (Facebook, Twitter, Instagram)",Email,Word of Mouth,Gesa Power House Theatre website (www.phtww.org),Other,What is your age group?,What is your annual household income?,"What was your overall impression of this event (quality, lighting, sound, value)?","Please share any other suggestions or ideas that would help us enhance your experience at Gesa Power House Theatre. If you would like someone to respond to your feedback, please include your contact information. Thank you!"
367898446,03/25/2023 9:26 PM,No,No,No,No,No,No,Yes,Yes,No,No,No,36-45,"$200,001 or above",Excellent and very fun.,
367921002,03/26/2023 12:19 AM,No,No,No,No,No,No,No,Yes,No,Yes,No,66+,"$50,001 - $100,000","I really enjoyed the program. It was edgy and I’m sure would not appeal to everyone. But I found it to be entertaining, funny, clever and honest to the headlining title. I would buy a ticket to see this entertainer again. 
A little trouble with the sound, which made it even funnier. Thank you for bringing this avant-garde show to WW.",
368018460,03/26/2023 8:29 AM,No,No,No,No,No,Yes,No,No,No,No,No,66+,,"Good sound system, restrooms. Seats a bit narrow for normal sized people. All seats good view.",
368053559,03/26/2023 9:57 AM,No,No,No,No,No,No,No,No,No,Yes,Yes,56-65,"$100,001 - $200,000",As usual it was excellent all round.,Happy as we are.
368075039,03/26/2023 10:51 AM,Yes,No,No,No,No,No,No,Yes,No,Yes,No,56-65,"$50,000 or below",Perfect!,
368127255,03/26/2023 1:16 PM,No,No,No,No,No,No,No,No,No,Yes,No,26-35,"$50,001 - $100,000",Everything was fantastic.  Wonderful show!,
368530746,03/27/2023 10:21 AM,No,No,No,No,No,No,No,No,No,Yes,No,56-65,"$200,001 or above",Very good,More comedy shows!  :-)
369013908,03/28/2023 10:11 AM,No,No,No,No,No,No,No,Yes,No,No,No,66+,,Everything seemed to go well.,
